CV-structure	S3_%ULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S3_nULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk
CCVVCCVCV	0	85.71428571	14.28571429	0	6	1
CCVVCCVV	0	100	0	0	17	0
CCVVCCVVCCV	0	25	75	0	1	3
CCVVCCVVCV	0	79.41176471	20.58823529	0	54	14
CCVVCCVVV	0	100	0	0	17	0
CCVVCCVVVV	0	100	0	0	1	0
CCVVCV	0	72.30769231	27.69230769	0	47	18
CCVVCVCCCV	0	80	20	0	4	1
CCVVCVCCV	0	66.66666667	33.33333333	0	74	37
CCVVCVCV	0	71.54639175	28.45360825	0	347	138
CCVVCVV	0	100	0	0	3	0
CCVVCVVCV	0	100	0	0	21	0
CCVVVCCV	0	100	0	0	1	0
CVCC	0	100	0	0	1	0
CVCCCV	0	100	0	0	2	0
CVCCCVCCCV	0	100	0	0	4	0
CVCCCVCCV	0	96.48798521	3.512014787	0	522	19
CVCCCVCCVCCV	0	100	0	0	3	0
CVCCCVCCVCV	0	100	0	0	2	0
CVCCCVCCVV	0	100	0	0	21	0
CVCCCVCV	0	60.9403255	39.0596745	0	674	432
CVCCCVCVCCV	0	100	0	0	3	0
CVCCCVCVCVCV	0	100	0	0	1	0
CVCCCVCVV	0	100	0	0	57	0
CVCCCVCVVCCV	0	100	0	0	1	0
CVCCCVV	0	100	0	0	3	0
CVCCCVVCCV	0	100	0	0	47	0
CVCCCVVCV	0	92.69662921	7.303370787	0	165	13
CVCCCVVCVCCV	0	100	0	0	1	0
CVCCCVVV	0	100	0	0	15	0
CVCCCVVVV	0	100	0	0	11	0
CVCCV	0	100	0	0	75	0
CVCCVCCCV	0	98.24561404	1.754385965	0	112	2
CVCCVCCCVV	0	100	0	0	17	0
CVCCVCCCVVCV	0	100	0	0	1	0
CVCCVCCV	0	96.7134543	3.286545704	0	5650	192
CVCCVCCVCCV	0	100	0	0	17	0
CVCCVCCVCV	0	100	0	0	6	0
CVCCVCCVV	0	100	0	0	541	0
CVCCVCCVVCCV	0	100	0	0	1	0
CVCCVCCVVCV	0	100	0	0	1	0
CVCCVCV	0	71.97375368	28.02624632	0	9543	3716
CVCCVCVCCCV	0	100	0	0	1	0
CVCCVCVCCV	0	100	0	0	32	0
CVCCVCVCCVV	0	100	0	0	1	0
CVCCVCVCV	0	100	0	0	26	0
CVCCVCVCVCV	0	100	0	0	1	0
CVCCVCVV	0	100	0	0	269	0
CVCCVV	0.241545894	98.30917874	1.449275362	1	407	6
CVCCVVCCCV	0	100	0	0	2	0
CVCCVVCCV	0	97.14912281	2.850877193	0	443	13
CVCCVVCCVCCV	0	100	0	0	2	0
CVCCVVCCVCV	0	100	0	0	2	0
CVCCVVCCVV	0	100	0	0	21	0
CVCCVVCV	0	88.21060664	11.78939336	0	2312	309
CVCCVVCVCCV	0	100	0	0	7	0
CVCCVVCVCCVV	0	100	0	0	1	0
CVCCVVCVCV	0	100	0	0	9	0
CVCCVVV	0	100	0	0	70	0
CVCCVVVCV	0	100	0	0	1	0
CVCCVVVV	0	100	0	0	58	0
CVCV	0	100	0	0	8	0
CVCVCCCV	0	100	0	0	441	0
CVCVCCCVCV	0	100	0	0	1	0
CVCVCCCVV	0	100	0	0	104	0
