ending	%PULT_Ty	%APULT_Ty	%PAPULT_Ty	nPULT_Ty	nAPULT_Ty	nPAPULT_Ty
ora	78.5714285714286	21.4285714285714	NA	22	6	NA
ore	96.3636363636364	3.63636363636364	NA	106	4	NA
ori	97.2972972972973	2.7027027027027	NA	108	3	NA
oro	85	15	NA	17	3	NA
osa	100	NA	NA	66	NA	NA
ose	100	NA	NA	58	NA	NA
osi	33.1578947368421	66.8421052631579	NA	63	127	NA
oso	100	NA	NA	73	NA	NA
ota	100	NA	NA	13	NA	NA
ote	100	NA	NA	12	NA	NA
oti	52	48	NA	13	12	NA
oto	100	NA	NA	8	NA	NA
ova	100	NA	NA	11	NA	NA
ove	100	NA	NA	10	NA	NA
ovi	53.3333333333333	46.6666666666667	NA	8	7	NA
ovo	88.8888888888889	11.1111111111111	NA	8	1	NA
ozi	100	NA	NA	1	NA	NA
uba	100	NA	NA	2	NA	NA
ube	100	NA	NA	1	NA	NA
ubi	80	20	NA	4	1	NA
ubo	75	25	NA	3	1	NA
uca	100	NA	NA	6	NA	NA
uce	100	NA	NA	8	NA	NA
uci	100	NA	NA	3	NA	NA
uco	100	NA	NA	4	NA	NA
uda	100	NA	NA	4	NA	NA
ude	100	NA	NA	9	NA	NA
udi	100	NA	NA	9	NA	NA
udo	100	NA	NA	5	NA	NA
ufa	100	NA	NA	1	NA	NA
ufe	100	NA	NA	1	NA	NA
ufi	100	NA	NA	2	NA	NA
ufo	100	NA	NA	2	NA	NA
uga	83.3333333333333	16.6666666666667	NA	5	1	NA
ugi	100	NA	NA	1	NA	NA
ugo	100	NA	NA	1	NA	NA
ula	25	75	NA	2	6	NA
ule	42.8571428571429	57.1428571428571	NA	3	4	NA
uli	25	75	NA	1	3	NA
ulo	20	80	NA	1	4	NA
uma	100	NA	NA	7	NA	NA
ume	100	NA	NA	8	NA	NA
umi	100	NA	NA	10	NA	NA
umo	100	NA	NA	3	NA	NA
una	100	NA	NA	17	NA	NA
une	100	NA	NA	11	NA	NA
uni	100	NA	NA	5	NA	NA
uno	100	NA	NA	11	NA	NA
upa	60	40	NA	3	2	NA
upi	50	50	NA	2	2	NA
upo	66.6666666666667	33.3333333333333	NA	2	1	NA
ura	98.2142857142857	1.78571428571429	NA	55	1	NA
ure	100	NA	NA	39	NA	NA
uri	100	NA	NA	16	NA	NA
uro	94.1176470588235	5.88235294117647	NA	16	1	NA
usa	100	NA	NA	17	NA	NA
use	100	NA	NA	12	NA	NA
usi	100	NA	NA	15	NA	NA
uso	100	NA	NA	14	NA	NA
uta	97.9166666666667	2.08333333333333	NA	47	1	NA
ute	100	NA	NA	38	NA	NA
uti	100	NA	NA	45	NA	NA
uto	100	NA	NA	74	NA	NA
uva	100	NA	NA	1	NA	NA
uvi	100	NA	NA	1	NA	NA
