ending	S2_%PULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S4_%PAPULT_Tk	S5_%PULT_Tk	S5_%APULT_Tk	S6_%PULT_Tk	S6_%APULT_Tk	S7_%PULT_Tk	S7_%APULT_Tk	S8_%PULT_Tk	S2_nPULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S4_nPAPULT_Tk	S5_nPULT_Tk	S5_nAPULT_Tk	S6_nPULT_Tk	S6_nAPULT_Tk	S7_nPULT_Tk	S7_nAPULT_Tk	S8_nPULT_Tk
sti	100	100	0	100	0	0	100	0	100	0	NA	NA	NA	163	224	0	42	0	0	27	0	11	0	NA	NA	NA
sto	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	3532	366	0	9	0	0	NA	NA	NA	NA	NA	NA	NA
tmi	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tmo	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tra	100	90.9333333333333	9.06666666666667	100	0	0	NA	NA	NA	NA	NA	NA	NA	844	341	34	2	0	0	NA	NA	NA	NA	NA	NA	NA
tre	100	92.8571428571429	7.14285714285714	100	0	0	100	0	NA	NA	NA	NA	NA	827	143	11	24	0	0	412	0	NA	NA	NA	NA	NA
tri	100	83.9285714285714	16.0714285714286	0	100	0	100	0	NA	NA	NA	NA	NA	887	47	9	0	150	0	5	0	NA	NA	NA	NA	NA
tro	100	91.5254237288136	8.47457627118644	78.9256198347107	21.0743801652893	0	100	0	NA	NA	NA	NA	NA	1801	270	25	191	51	0	4	0	NA	NA	NA	NA	NA
tta	100	100	0	100	0	0	100	0	NA	NA	NA	NA	NA	963	550	0	174	0	0	2	0	NA	NA	NA	NA	NA
tte	100	100	0	100	0	0	100	0	NA	NA	NA	NA	NA	1055	273	0	117	0	0	4	0	NA	NA	NA	NA	NA
tti	100	100	0	100	0	0	100	0	NA	NA	NA	NA	NA	1514	817	0	111	0	0	4	0	NA	NA	NA	NA	NA
tto	100	100	0	100	0	0	100	0	NA	NA	NA	NA	NA	3112	1163	0	335	0	0	82	0	NA	NA	NA	NA	NA
vra	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
vre	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
vve	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
vvi	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
zza	100	100	0	100	0	0	100	0	NA	NA	NA	NA	NA	165	309	0	88	0	0	5	0	NA	NA	NA	NA	NA
zze	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	56	88	0	5	0	0	NA	NA	NA	NA	NA	NA	NA
zzi	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	120	380	0	2	0	0	NA	NA	NA	NA	NA	NA	NA
zzo	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	366	202	0	26	0	0	NA	NA	NA	NA	NA	NA	NA
