ending	%PULT_Ty	%APULT_Ty	%PAPULT_Ty	nPULT_Ty	nAPULT_Ty	nPAPULT_Ty
nci	100	NA	NA	5	NA	NA
nco	100	NA	NA	9	NA	NA
nda	100	NA	NA	42	NA	NA
nde	100	NA	NA	53	NA	NA
ndi	100	NA	NA	33	NA	NA
ndo	100	NA	NA	549	NA	NA
nfa	100	NA	NA	2	NA	NA
nfe	100	NA	NA	1	NA	NA
nfi	100	NA	NA	3	NA	NA
nfo	100	NA	NA	2	NA	NA
nga	100	NA	NA	12	NA	NA
nge	100	NA	NA	15	NA	NA
ngi	100	NA	NA	10	NA	NA
ngo	100	NA	NA	23	NA	NA
nna	100	NA	NA	18	NA	NA
nne	100	NA	NA	28	NA	NA
nni	100	NA	NA	17	NA	NA
nno	100	NA	NA	166	NA	NA
nsa	100	NA	NA	7	NA	NA
nse	100	NA	NA	22	NA	NA
nsi	100	NA	NA	9	NA	NA
nso	100	NA	NA	6	NA	NA
nta	100	NA	NA	62	NA	NA
nte	100	NA	NA	296	NA	NA
nti	100	NA	NA	248	NA	NA
nto	100	NA	NA	139	NA	NA
nza	100	NA	NA	61	NA	NA
nze	100	NA	NA	30	NA	NA
nzi	100	NA	NA	8	NA	NA
nzo	100	NA	NA	4	NA	NA
pla	100	NA	NA	1	NA	NA
pli	100	NA	NA	1	NA	NA
ppa	100	NA	NA	19	NA	NA
ppe	100	NA	NA	10	NA	NA
ppi	100	NA	NA	10	NA	NA
ppo	100	NA	NA	10	NA	NA
pra	100	NA	NA	6	NA	NA
pre	100	NA	NA	8	NA	NA
pri	100	NA	NA	7	NA	NA
pro	100	NA	NA	5	NA	NA
rba	100	NA	NA	7	NA	NA
rbe	100	NA	NA	4	NA	NA
rbi	100	NA	NA	7	NA	NA
rbo	100	NA	NA	4	NA	NA
rca	100	NA	NA	9	NA	NA
rce	100	NA	NA	5	NA	NA
rci	82.5174825174825	17.4825174825175	NA	118	25	NA
rco	100	NA	NA	11	NA	NA
rda	100	NA	NA	13	NA	NA
rde	100	NA	NA	8	NA	NA
rdi	100	NA	NA	18	NA	NA
rdo	100	NA	NA	23	NA	NA
rga	100	NA	NA	4	NA	NA
rge	100	NA	NA	8	NA	NA
rgi	100	NA	NA	2	NA	NA
rgo	100	NA	NA	6	NA	NA
rla	82.8025477707006	17.1974522292994	NA	130	27	NA
rle	76.4705882352941	23.5294117647059	NA	65	20	NA
rli	76.1467889908257	23.8532110091743	NA	83	26	NA
rlo	83.2535885167464	16.7464114832536	NA	174	35	NA
rma	100	NA	NA	13	NA	NA
rme	100	NA	NA	12	NA	NA
rmi	86.7403314917127	13.2596685082873	NA	157	24	NA
rmo	100	NA	NA	7	NA	NA
rna	100	NA	NA	13	NA	NA
rne	86.4406779661017	13.5593220338983	NA	51	8	NA
rni	100	NA	NA	18	NA	NA
rno	100	NA	NA	23	NA	NA
rpa	100	NA	NA	2	NA	NA
rpe	100	NA	NA	2	NA	NA
rpi	100	NA	NA	1	NA	NA
rpo	100	NA	NA	1	NA	NA
rra	100	NA	NA	13	NA	NA
rre	100	NA	NA	37	NA	NA
rri	100	NA	NA	12	NA	NA
rro	100	NA	NA	8	NA	NA
rsa	100	NA	NA	21	NA	NA
rse	100	NA	NA	27	NA	NA
rsi	80.6020066889632	19.3979933110368	NA	241	58	NA
rso	100	NA	NA	26	NA	NA
rta	100	NA	NA	33	NA	NA
rte	100	NA	NA	28	NA	NA
rti	85.3107344632768	14.6892655367232	NA	151	26	NA
rto	100	NA	NA	35	NA	NA
rva	100	NA	NA	6	NA	NA
rve	100	NA	NA	9	NA	NA
rvi	78.6407766990291	21.3592233009709	NA	81	22	NA
rvo	100	NA	NA	3	NA	NA
rza	100	NA	NA	4	NA	NA
rze	100	NA	NA	1	NA	NA
rzi	100	NA	NA	3	NA	NA
rzo	100	NA	NA	4	NA	NA
sca	100	NA	NA	28	NA	NA
sce	100	NA	NA	71	NA	NA
sci	100	NA	NA	28	NA	NA
sco	100	NA	NA	31	NA	NA
sfa	100	NA	NA	1	NA	NA
sma	100	NA	NA	2	NA	NA
smi	100	NA	NA	4	NA	NA
smo	100	NA	NA	5	NA	NA
spa	100	NA	NA	3	NA	NA
spe	100	NA	NA	2	NA	NA
spi	100	NA	NA	2	NA	NA
spo	100	NA	NA	2	NA	NA
ssa	100	NA	NA	50	NA	NA
sse	100	NA	NA	204	NA	NA
ssi	98.9473684210526	1.05263157894737	NA	94	1	NA
sso	100	NA	NA	66	NA	NA
sta	100	NA	NA	79	NA	NA
ste	100	NA	NA	79	NA	NA
sti	100	NA	NA	99	NA	NA
sto	100	NA	NA	56	NA	NA
tmi	100	NA	NA	1	NA	NA
tmo	100	NA	NA	1	NA	NA
tra	90.3225806451613	9.67741935483871	NA	28	3	NA
tre	96	4	NA	24	1	NA
tri	80	20	NA	28	7	NA
tro	81.8181818181818	18.1818181818182	NA	36	8	NA
tta	100	NA	NA	174	NA	NA
tte	100	NA	NA	124	NA	NA
tti	100	NA	NA	178	NA	NA
tto	100	NA	NA	219	NA	NA
vra	100	NA	NA	1	NA	NA
vre	100	NA	NA	1	NA	NA
vve	100	NA	NA	1	NA	NA
vvi	100	NA	NA	2	NA	NA
zza	100	NA	NA	53	NA	NA
zze	100	NA	NA	31	NA	NA
zzi	100	NA	NA	24	NA	NA
zzo	100	NA	NA	31	NA	NA
