ending	S2_%PULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S4_%PAPULT_Tk	S5_%PULT_Tk	S5_%APULT_Tk	S5_%PAPULT_Tk	S6_%PULT_Tk	S6_%APULT_Tk	S6_%PAPULT_Tk	S7_%APULT_Tk	S8_%PULT_Tk	S2_nPULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S4_nPAPULT_Tk	S5_nPULT_Tk	S5_nAPULT_Tk	S5_nPAPULT_Tk	S6_nPULT_Tk	S6_nAPULT_Tk	S6_nPAPULT_Tk	S7_nAPULT_Tk	S8_nPULT_Tk
uro	100	96.85863874	3.141361257	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	108	185	6	15	0	0	NA	NA	NA	NA	NA	NA	NA	NA
usa	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	184	45	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
use	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	34	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
usi	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55	25	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
uso	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	117	37	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
uta	100	99.55947137	0.440528634	100	0	0	100	0	0	NA	NA	NA	NA	NA	18	226	1	41	0	0	5	0	0	NA	NA	NA	NA	NA
ute	100	100	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	7	76	0	24	0	0	10	0	0	NA	NA	NA	NA	NA
uti	100	100	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	3	234	0	59	0	0	3	0	0	NA	NA	NA	NA	NA
uto	100	100	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	112	869	0	229	0	0	12	0	0	NA	NA	NA	NA	NA
uva	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
uvi	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
