ending	B_%PULT_Ty	C_%PULT_Ty	G_%PULT_Ty	G_%APULT_Ty	I_%PULT_Ty	N_%PULT_Ty	P_%PULT_Ty	S_%PULT_Ty	S_%APULT_Ty	V_%PULT_Ty	V_%APULT_Ty	V_%PAPULT_Ty	B_nPULT_Ty	C_nPULT_Ty	G_nPULT_Ty	G_nAPULT_Ty	I_nPULT_Ty	N_nPULT_Ty	P_nPULT_Ty	S_nPULT_Ty	S_nAPULT_Ty	V_nPULT_Ty	V_nAPULT_Ty	V_nPAPULT_Ty
pri	100	NA	100	NA	NA	100	NA	100	NA	100	NA	NA	1	NA	1	NA	NA	1	NA	1	NA	5	NA	NA
pro	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	4	NA	NA
rba	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	2	NA	NA	NA	NA	3	NA	2	NA	NA
rbe	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	2	NA	1	NA	NA
rbi	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	2	NA	NA	NA	NA	5	NA	2	NA	NA
rbo	NA	NA	100	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	3	NA	NA	NA	NA
rca	100	NA	100	NA	NA	NA	100	100	NA	100	NA	NA	2	NA	2	NA	NA	NA	1	4	NA	2	NA	NA
rce	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	1	NA	NA
rci	NA	NA	NA	NA	NA	NA	NA	100	NA	82.0143884892086	17.9856115107914	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	114	25	NA
rco	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	2	NA	NA	NA	NA	8	NA	1	NA	NA
rda	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	6	NA	NA	NA	NA	2	NA	6	NA	NA
rde	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	3	NA	NA	NA	NA	2	NA	4	NA	NA
rdi	100	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	1	NA	6	NA	NA	NA	NA	12	NA	5	NA	NA
rdo	100	NA	100	NA	100	NA	NA	100	NA	100	NA	NA	1	NA	7	NA	1	NA	NA	16	NA	4	NA	NA
rga	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	2	NA	NA
rge	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA
rgi	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA
rgo	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	3	NA	2	NA	NA
rla	NA	NA	NA	NA	NA	NA	NA	66.6666666666667	33.3333333333333	83.2258064516129	16.7741935483871	NA	NA	NA	NA	NA	NA	NA	NA	2	1	129	26	NA
rle	NA	NA	NA	NA	NA	NA	NA	50	50	77.1084337349398	22.8915662650602	NA	NA	NA	NA	NA	NA	NA	NA	1	1	64	19	NA
rli	NA	NA	NA	NA	NA	NA	NA	66.6666666666667	33.3333333333333	76.4150943396226	23.5849056603774	NA	NA	NA	NA	NA	NA	NA	NA	2	1	81	25	NA
rlo	NA	NA	NA	NA	NA	NA	NA	75	25	83.4146341463415	16.5853658536585	NA	NA	NA	NA	NA	NA	NA	NA	3	1	171	34	NA
rma	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	9	NA	6	NA	NA
rme	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	2	NA	NA	NA	NA	9	NA	1	NA	NA
rmi	NA	NA	100	NA	NA	NA	NA	100	NA	86.2068965517241	13.7931034482759	NA	NA	NA	2	NA	NA	NA	NA	7	NA	150	24	NA
rmo	NA	NA	100	NA	100	NA	NA	100	NA	100	NA	NA	NA	NA	1	NA	1	NA	NA	3	NA	5	NA	NA
rna	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	8	NA	NA	NA	NA	3	NA	2	NA	NA
rne	NA	NA	100	NA	NA	NA	NA	100	NA	84	16	NA	NA	NA	6	NA	NA	NA	NA	3	NA	42	8	NA
rni	100	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	1	NA	7	NA	NA	NA	NA	10	NA	2	NA	NA
rno	100	NA	100	NA	100	NA	NA	100	NA	100	NA	NA	3	NA	7	NA	1	NA	NA	16	NA	2	NA	NA
rpa	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA
rpe	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA
rpi	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
rpo	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
rra	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	2	NA	NA	NA	NA	7	NA	6	NA	NA
rre	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	5	NA	31	NA	NA
rri	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	2	NA	NA	NA	NA	5	NA	6	NA	NA
rro	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	2	NA	NA	NA	NA	5	NA	2	NA	NA
rsa	100	100	100	NA	NA	NA	NA	100	NA	100	NA	NA	1	1	8	NA	NA	NA	NA	5	NA	12	NA	NA
rse	100	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	1	NA	8	NA	NA	NA	NA	4	NA	20	NA	NA
rsi	NA	NA	100	NA	NA	NA	NA	100	NA	79.7909407665505	20.2090592334495	NA	NA	NA	7	NA	NA	NA	NA	11	NA	229	58	NA
rso	NA	NA	100	NA	NA	NA	100	100	NA	100	NA	NA	NA	NA	6	NA	NA	NA	2	11	NA	13	NA	NA
rta	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	12	NA	NA	NA	NA	12	NA	19	NA	NA
rte	100	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	2	NA	9	NA	NA	NA	NA	16	NA	13	NA	NA
rti	NA	NA	100	NA	NA	NA	NA	100	NA	83.4394904458599	16.5605095541401	NA	NA	NA	10	NA	NA	NA	NA	21	NA	131	26	NA
rto	100	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	1	NA	12	NA	NA	NA	NA	20	NA	15	NA	NA
