CV-structure	S5_%ULT_Ty	S5_%PULT_Ty	S5_%APULT_Ty	S5_%PAPULT_Ty	S5_nULT_Ty	S5_nPULT_Ty	S5_nAPULT_Ty	S5_nPAPULT_Ty
CCVCCVVCCVCVCCV	0	100	0	0	0	2	0	0
CCVCCVVCCVCVCV	0	100	0	0	0	1	0	0
CCVCCVVCCVCVVCV	0	100	0	0	0	1	0	0
CCVCCVVCVCCV	0	100	0	0	0	1	0	0
CCVCCVVCVCCVCCV	0	100	0	0	0	3	0	0
CCVCCVVCVCCVCV	0	0	100	0	0	0	3	0
CCVCCVVCVCV	0	25	75	0	0	1	3	0
CCVCCVVCVCVCCV	0	100	0	0	0	6	0	0
CCVCCVVCVCVCV	0	0	100	0	0	0	6	0
CCVCCVVCVVCV	0	100	0	0	0	3	0	0
CCVCCVVVCVCCV	0	100	0	0	0	1	0	0
CCVCCVVVCVCV	0	100	0	0	0	2	0	0
CCVCCAVCVCVV	0	100	0	0	0	1	0	0
CCVCVCCCVCCVCV	0	100	0	0	0	1	0	0
CCVCVCCCVCCVVCV	0	100	0	0	0	1	0	0
CCVCVCCCVCVCV	0	100	0	0	0	4	0	0
CCVCVCCCVVCVCCV	0	100	0	0	0	2	0	0
CCVCVCCCVVCVCV	0	0	100	0	0	0	1	0
CCVCVCCVCCCVVCV	0	100	0	0	0	1	0	0
CCVCVCCVCCVCCV	0	40	60	0	0	2	3	0
CCVCVCCVCCVCV	0	14.28571429	85.71428571	0	0	5	30	0
CCVCVCCVCCVVCV	0	100	0	0	0	1	0	0
CCVCVCCVCVCCCV	0	100	0	0	0	1	0	0
CCVCVCCVCVCCV	0	95	5	0	0	38	2	0
CCVCVCCVCVCV	0	50.56179775	47.19101124	2.247191011	0	45	42	2
CCVCVCCVCVCVV	0	100	0	0	0	3	0	0
CCVCVCCVCVV	0	100	0	0	0	7	0	0
CCVCVCCVCVVCV	0	100	0	0	0	21	0	0
CCVCVCCVVCCVCCV	0	100	0	0	0	1	0	0
CCVCVCCVVCCVCV	0	75	25	0	0	3	1	0
CCVCVCCVVCV	0	100	0	0	0	6	0	0
CCVCVCCVVCVCCV	0	100	0	0	0	13	0	0
CCVCVCCVVCVCV	0	73.07692308	26.92307692	0	0	19	7	0
CCVCVCCVVCVCVV	0	100	0	0	0	2	0	0
CCVCVCVCCCVCV	0	100	0	0	0	3	0	0
CCVCVCVCCCVVCCV	0	100	0	0	0	1	0	0
CCVCVCVCCCVVCV	0	80	20	0	0	4	1	0
CCVCVCVCCCVVV	0	100	0	0	0	1	0	0
CCVCVCVCCVCCV	0	70.37037037	29.62962963	0	0	19	8	0
CCVCVCVCCVCCVV	0	100	0	0	0	2	0	0
CCVCVCVCCVCV	0	44.44444444	54.7008547	0.854700855	0	52	64	1
CCVCVCVCCVCVV	0	100	0	0	0	1	0	0
CCVCVCVCCVV	0	100	0	0	0	7	0	0
CCVCVCVCCVVCV	0	100	0	0	0	13	0	0
CCVCVCVCVCCCV	0	100	0	0	0	1	0	0
CCVCVCVCVCCV	0	94.62365591	5.376344086	0	0	88	5	0
CCVCVCVCVCV	0	49.47368421	47.89473684	2.631578947	0	94	91	5
CCVCVCVCVCVV	0	100	0	0	0	7	0	0
CCVCVCVCVV	0	87.5	12.5	0	0	14	2	0
CCVCVCVCVVCCV	0	100	0	0	0	2	0	0
CCVCVCVCVVCV	0	97.91666667	2.083333333	0	0	47	1	0
CCVCVCVVCCVCCV	0	100	0	0	0	1	0	0
CCVCVCVVCCVCV	0	0	100	0	0	0	1	0
CCVCVCVVCV	0	100	0	0	0	3	0	0
CCVCVCVVCVCCV	0	88.88888889	11.11111111	0	0	8	1	0
CCVCVCVVCVCV	0	57.89473684	42.10526316	0	0	11	8	0
CCVCVCVVCVCVV	0	100	0	0	0	1	0	0
CCVCVVCCVCCV	0	100	0	0	0	1	0	0
CCVCVVCCVCCVCV	0	33.33333333	66.66666667	0	0	1	2	0
CCVCVVCCVCV	0	100	0	0	0	3	0	0
CCVCVVCCVCVCCV	0	100	0	0	0	1	0	0
CCVCVVCCVCVCV	0	54.54545455	45.45454545	0	0	6	5	0
CCVCVVCCVCVV	0	100	0	0	0	1	0	0
CCVCVVCCVCVVCV	0	100	0	0	0	2	0	0
CCVCVVCCVVCV	0	100	0	0	0	1	0	0
CCVCVVCVCCVCCV	0	80	20	0	0	4	1	0
CCVCVVCVCCVCV	0	57.14285714	42.85714286	0	0	4	3	0
CCVCVVCVCCVV	0	100	0	0	0	1	0	0
CCVCVVCVCCVVCV	0	100	0	0	0	1	0	0
