ending	S2_%ULT_Tk	S2_%PULT_Tk	S3_%ULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S5_pia_%_Tk	S5_%APULT_Tk	S6_%PULT_Tk	S6_%APULT_Tk	S7_%PULT_Tk	S7_%APULT_Tk	S8_%PULT_Tk	S8_%APULT_Tk	S9_%PULT_Tk	S10_%PULT_Tk	S2_nULT_Tk	S2_nPULT_Tk	S3_nULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S5_nPULT_Tk	S5_nAPULT_Tk	S6_nPULT_Tk	S6_nAPULT_Tk	S7_nPULT_Tk	S7_nAPULT_Tk	S8_nPULT_Tk	S8_nAPULT_Tk	S9_nPULT_Tk	S10_nPULT_Tk
blo	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
blu	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bra	0	100	0	25	75	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	1792	0	16	48	1	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA
bre	0	100	0	86.3106200122775	13.6893799877225	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	207	0	1406	223	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bri	0	100	0	11.9266055045872	88.0733944954129	98.0769230769231	1.92307692307692	100	0	100	0	NA	NA	NA	NA	NA	NA	0	618	0	13	96	51	1	1	0	1	0	NA	NA	NA	NA	NA	NA
bro	0	100	0	26.7857142857143	73.2142857142857	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	811	0	30	82	4	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA
cca	0	100	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	0	1230	0	261	0	20	0	5	0	1	0	NA	NA	NA	NA	NA	NA
cce	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	444	0	159	0	37	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cci	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	228	0	547	0	89	0	3	0	NA	NA	NA	NA	NA	NA	NA	NA
cco	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	2019	0	578	0	43	0	14	0	NA	NA	NA	NA	NA	NA	NA	NA
ccu	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cha	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
che	0	100	0	39.1049769970724	60.8950230029277	6.67743672590199	93.322563274098	4.71698113207547	95.2830188679245	0.282485875706215	99.7175141242938	0	100	0	100	NA	NA	0	17409	0	935	1456	124	1733	35	707	1	353	0	74	0	4	NA	NA
chi	0	100	0	91.4893617021277	8.51063829787234	72.9083665338645	27.0916334661355	80	20	NA	NA	NA	NA	NA	NA	NA	NA	0	4980	0	903	84	183	68	40	10	NA	NA	NA	NA	NA	NA	NA	NA
cho	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	15	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cke	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cla	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	4	0	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cle	NA	NA	0	0	100	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	10	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cli	0	100	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	17	NA	NA	NA	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
clo	0	100	0	80	20	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	99	0	4	1	7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cme	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cne	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cno	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cra	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	71	0	7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cre	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	34	0	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cri	0	100	0	100	0	25	75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	39	0	26	0	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cro	0	100	0	100	0	38.0952380952381	61.9047619047619	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	165	0	63	0	8	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
