ending	B_%PULT_Ty	B_%APULT_Ty	C_%PULT_Ty	C_%APULT_Ty	E_%ULT_Ty	E_%PULT_Ty	E_%APULT_Ty	G_%ULT_Ty	G_%PULT_Ty	G_%APULT_Ty	I_%PULT_Ty	I_%APULT_Ty	N_%PULT_Ty	N_%APULT_Ty	NU_%PULT_Ty	NU_%APULT_Ty	P_%PULT_Ty	P_%APULT_Ty	R_%PULT_Ty	S_%ULT_Ty	S_%PULT_Ty	S_%APULT_Ty	S_%PAPULT_Ty	V_%ULT_Ty	V_%PULT_Ty	V_%APULT_Ty	V_%PAPULT_Ty	X_%PULT_Ty	X_%APULT_Ty	B_nPULT_Ty	B_nAPULT_Ty	C_nPULT_Ty	C_nAPULT_Ty	E_nULT_Ty	E_nPULT_Ty	E_nAPULT_Ty	G_nULT_Ty	G_nPULT_Ty	G_nAPULT_Ty	I_nPULT_Ty	I_nAPULT_Ty	N_nPULT_Ty	N_nAPULT_Ty	NU_nPULT_Ty	NU_nAPULT_Ty	P_nPULT_Ty	P_nAPULT_Ty	R_nPULT_Ty	S_nULT_Ty	S_nPULT_Ty	S_nAPULT_Ty	S_nPAPULT_Ty	V_nULT_Ty	V_nPULT_Ty	V_nAPULT_Ty	V_nPAPULT_Ty	X_nPULT_Ty	X_nAPULT_Ty
eva	316	NA	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	306	NA	NA	NA	NA
emo	305	NA	NA	NA	NA	NA	88.88888889	11.11111111	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	87.5	12.5	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	1	NA	6	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	7	1	NA	NA	287	NA	NA	NA	NA
avo	292	NA	NA	NA	NA	NA	100	NA	NA	87.5	12.5	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	7	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	273	NA	NA	NA	NA
ete	276	NA	NA	NA	NA	NA	100	NA	NA	87.5	12.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	95.83333333	4.166666667	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	14	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	1	NA	NA	230	NA	NA	NA	NA
ose	259	NA	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	94.73684211	5.263157895	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	229	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	17	NA	NA	NA	18	1	NA	NA	NA
ice	251	100	NA	NA	NA	NA	58.33333333	41.66666667	NA	88.31168831	11.68831169	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	83.88888889	16.11111111	NA	NA	100	NA	NA	NA	100	2	NA	NA	NA	NA	14	10	NA	68	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	151	29	NA	NA	7	NA	NA	NA	1
ivi	246	100	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	93.75	6.25	NA	NA	NA	2	NA	NA	NA	NA	2	NA	NA	191	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	72	NA	NA	NA	15	1	NA	NA	NA
ene	235	100	NA	100	NA	NA	86.95652174	13.04347826	NA	63.63636364	36.36363636	100	NA	100	NA	NA	NA	NA	NA	NA	NA	91.66666667	8.333333333	NA	NA	15.06849315	60.95890411	23.97260274	NA	NA	1	NA	3	NA	NA	20	3	NA	14	8	1	NA	1	NA	NA	NA	NA	NA	NA	NA	44	4	NA	NA	22	89	35	NA	NA
ese	229	NA	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	87	NA	NA	144	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	87	NA	NA	NA	31	NA	NA	NA	NA
esi	225	NA	NA	NA	NA	NA	97.87234043	2.127659574	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	77.22772277	22.77227723	NA	NA	53.84615385	46.15384615	NA	NA	NA	NA	NA	NA	NA	NA	46	1	NA	101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	78	23	NA	NA	28	24	NA	NA	NA
ive	222	NA	NA	NA	NA	NA	100	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	187	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	38	NA	NA	NA	10	NA	NA	NA	NA
ure	209	100	NA	100	NA	NA	100	NA	NA	84.61538462	15.38461538	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.538461538	97.94871795	0.512820513	NA	NA	NA	NA	NA	NA	NA	2	NA	5	NA	NA	2	NA	NA	11	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	191	1	NA	NA	NA	NA	NA	NA	NA
