ending	%ULT_Ty	%PULT_Ty	%APULT_Ty	nULT_Ty	nPULT_Ty	nAPULT_Ty
rmi	NA	87.1794871794872	12.8205128205128	NA	442	65
rmo	NA	100	NA	NA	21	NA
rna	NA	100	NA	NA	51	NA
rne	NA	85.6733524355301	14.3266475644699	NA	299	50
rni	NA	100	NA	NA	39	NA
rno	NA	100	NA	NA	80	NA
rpa	NA	100	NA	NA	7	NA
rpe	NA	100	NA	NA	9	NA
rpi	NA	100	NA	NA	9	NA
rpo	NA	100	NA	NA	2	NA
rra	NA	100	NA	NA	70	NA
rre	NA	100	NA	NA	79	NA
rri	NA	100	NA	NA	46	NA
rro	NA	100	NA	NA	49	NA
rru	NA	100	NA	NA	1	NA
rsa	NA	100	NA	NA	57	NA
rse	NA	100	NA	NA	54	NA
rsi	NA	87.3840445269017	12.6159554730983	NA	942	136
rso	NA	100	NA	NA	68	NA
rta	NA	100	NA	NA	87	NA
rte	NA	100	NA	NA	75	NA
rti	NA	86.6279069767442	13.3720930232558	NA	298	46
rto	NA	100	NA	NA	104	NA
rtu	NA	100	NA	NA	2	NA
rva	NA	100	NA	NA	14	NA
rve	NA	100	NA	NA	20	NA
rvi	NA	77.4869109947644	22.5130890052356	NA	148	43
rvo	NA	100	NA	NA	11	NA
rza	NA	100	NA	NA	14	NA
rze	NA	100	NA	NA	6	NA
rzi	NA	100	NA	NA	17	NA
rzo	NA	100	NA	NA	15	NA
sbo	NA	100	NA	NA	1	NA
sca	NA	100	NA	NA	174	NA
sce	NA	100	NA	NA	229	NA
sci	NA	100	NA	NA	51	NA
sco	NA	100	NA	NA	172	NA
scu	NA	100	NA	NA	1	NA
sda	NA	100	NA	NA	1	NA
sfa	NA	100	NA	NA	2	NA
sfi	NA	100	NA	NA	2	NA
sfo	NA	100	NA	NA	1	NA
sgi	NA	100	NA	NA	1	NA
sha	NA	100	NA	NA	1	NA
shi	NA	100	NA	NA	3	NA
ska	NA	100	NA	NA	4	NA
ske	NA	100	NA	NA	2	NA
sko	NA	100	NA	NA	5	NA
sla	NA	100	NA	NA	1	NA
slo	NA	100	NA	NA	1	NA
sma	NA	100	NA	NA	23	NA
sme	50	50	NA	1	1	NA
smi	NA	100	NA	NA	103	NA
smo	NA	100	NA	NA	448	NA
spa	NA	100	NA	NA	7	NA
spe	NA	100	NA	NA	4	NA
spi	NA	100	NA	NA	6	NA
spo	NA	100	NA	NA	6	NA
ssa	NA	100	NA	NA	176	NA
sse	NA	100	NA	NA	694	NA
ssi	NA	100	NA	NA	296	NA
sso	NA	100	NA	NA	213	NA
ssu	NA	100	NA	NA	2	NA
sta	NA	100	NA	NA	609	NA
ste	NA	100	NA	NA	221	NA
sti	NA	100	NA	NA	496	NA
sto	NA	100	NA	NA	151	NA
tha	NA	100	NA	NA	7	NA
tho	NA	100	NA	NA	1	NA
tma	NA	100	NA	NA	2	NA
tmi	NA	100	NA	NA	1	NA
tmo	NA	100	NA	NA	1	NA
tna	NA	100	NA	NA	1	NA
tno	NA	100	NA	NA	1	NA
tra	NA	93.1372549019608	6.86274509803922	NA	95	7
tre	5.26315789473684	94.7368421052632	NA	3	54	NA
tri	NA	79.8319327731092	20.1680672268908	NA	95	24
tro	0.625	78.75	20.625	1	126	33
tsi	NA	100	NA	NA	1	NA
tta	NA	100	NA	NA	527	NA
tte	0.845070422535211	99.1549295774648	NA	3	352	NA
tti	NA	100	NA	NA	692	NA
tto	NA	100	NA	NA	630	NA
ttu	NA	100	NA	NA	1	NA
vra	NA	100	NA	NA	5	NA
vre	NA	100	NA	NA	2	NA
vro	NA	100	NA	NA	1	NA
vve	NA	100	NA	NA	1	NA
vvi	NA	100	NA	NA	2	NA
xpo	NA	100	NA	NA	1	NA
yme	NA	NA	100	NA	NA	2
zda	NA	100	NA	NA	1	NA
zza	NA	99.7159090909091	0.284090909090909	NA	351	1
zze	NA	99.0384615384615	0.961538461538462	NA	103	1
zzi	NA	100	NA	NA	189	NA
zzo	NA	100	NA	NA	129	NA
zzu	NA	100	NA	NA	1	NA
