ending	B_%PULT_Tk	B_%APULT_Tk	C_%PULT_Tk	C_%APULT_Tk	E_%ULT_Tk	E_%PULT_Tk	E_%APULT_Tk	G_%ULT_Tk	G_%PULT_Tk	G_%APULT_Tk	I_%PULT_Tk	I_%APULT_Tk	N_%PULT_Tk	N_%APULT_Tk	NU_%PULT_Tk	NU_%APULT_Tk	P_%PULT_Tk	P_%APULT_Tk	R_%PULT_Tk	S_%ULT_Tk	S_%PULT_Tk	S_%APULT_Tk	S_%PAPULT_Tk	V_%ULT_Tk	V_%PULT_Tk	V_%APULT_Tk	V_%PAPULT_Tk	X_%PULT_Tk	X_%APULT_Tk	B_nPULT_Tk	B_nAPULT_Tk	C_nPULT_Tk	C_nAPULT_Tk	E_nULT_Tk	E_nPULT_Tk	E_nAPULT_Tk	G_nULT_Tk	G_nPULT_Tk	G_nAPULT_Tk	I_nPULT_Tk	I_nAPULT_Tk	N_nPULT_Tk	N_nAPULT_Tk	NU_nPULT_Tk	NU_nAPULT_Tk	P_nPULT_Tk	P_nAPULT_Tk	R_nPULT_Tk	S_nULT_Tk	S_nPULT_Tk	S_nAPULT_Tk	S_nPAPULT_Tk	V_nULT_Tk	V_nPULT_Tk	V_nAPULT_Tk	V_nPAPULT_Tk	X_nPULT_Tk	X_nAPULT_Tk
eba	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	100	0	NA	NA	NA	NA	0	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	0	0	NA	NA	NA	NA	1	0
ebe	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	5	0	0	NA	NA	NA	NA	NA	NA
ebi	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ebo	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	95.8333333333333	4.16666666666667	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	23	1	0	NA	NA	NA	NA	NA	NA
eca	NA	NA	NA	NA	0	93.8775510204082	6.12244897959184	0	91.566265060241	8.43373493975904	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	0	97.4358974358974	2.56410256410256	0	NA	NA	NA	NA	NA	NA	0	46	3	0	76	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	276	0	0	0	38	1	0	NA	NA
ece	100	0	100	0	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	0	99.5575221238938	0.442477876106195	0	NA	NA	2818	0	17	0	0	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	11	0	0	0	450	2	0	NA	NA
eci	NA	NA	NA	NA	0	100	0	0	94.1176470588235	5.88235294117647	NA	NA	NA	NA	100	0	NA	NA	NA	0	100	0	0	0	61.5384615384615	38.4615384615385	0	NA	NA	NA	NA	NA	NA	0	1	0	0	16	1	NA	NA	NA	NA	762	0	NA	NA	NA	0	41	0	0	0	56	35	0	NA	NA
eco	NA	NA	NA	NA	0	100	0	0	93.9655172413793	6.03448275862069	NA	NA	100	0	NA	NA	NA	NA	NA	0	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	0	69	0	0	109	7	NA	NA	2	0	NA	NA	NA	NA	NA	0	115	0	0	0	3	0	0	NA	NA
eda	NA	NA	NA	NA	0	94.1176470588235	5.88235294117647	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	0	32	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	178	0	0	0	129	0	0	NA	NA
ede	NA	NA	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	99.7977755308392	0.202224469160768	0	0	100	0	0	NA	NA	NA	NA	NA	NA	0	37	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	987	2	0	0	1922	0	0	NA	NA
