ending	%ULT_Ty	%PULT_Ty	%APULT_Ty	%PAPULT_Ty	nULT_Ty	nPULT_Ty	nAPULT_Ty	nPAPULT_Ty
eme	NA	100	NA	NA	NA	13	NA	NA
emi	NA	48.75	51.25	NA	NA	39	41	NA
emo	NA	99.672131147541	0.327868852459016	NA	NA	304	1	NA
ena	NA	90.5982905982906	9.4017094017094	NA	NA	106	11	NA
ene	NA	41.7021276595745	43.4042553191489	14.8936170212766	NA	98	102	35
eni	NA	77.7777777777778	22.2222222222222	NA	NA	56	16	NA
eno	NA	80.4347826086957	19.5652173913043	NA	NA	74	18	NA
enu	100	NA	NA	NA	2	NA	NA	NA
epa	NA	100	NA	NA	NA	5	NA	NA
epe	NA	100	NA	NA	NA	6	NA	NA
epi	20	80	NA	NA	1	4	NA	NA
epo	100	NA	NA	NA	1	NA	NA	NA
era	NA	68.5358255451713	31.4641744548287	NA	NA	220	101	NA
ere	0.146412884333821	37.7745241581259	62.0790629575403	NA	1	258	424	NA
eri	NA	72.6287262872629	27.3712737127371	NA	NA	268	101	NA
ero	NA	16.9325153374233	83.0674846625767	NA	NA	138	677	NA
esa	NA	100	NA	NA	NA	60	NA	NA
ese	NA	100	NA	NA	NA	229	NA	NA
esi	NA	79.5555555555556	20.4444444444444	NA	NA	179	46	NA
eso	NA	96.3636363636364	3.63636363636364	NA	NA	53	2	NA
eta	NA	93.5483870967742	6.45161290322581	NA	NA	58	4	NA
ete	NA	98.9130434782609	1.08695652173913	NA	NA	273	3	NA
eti	NA	92.6470588235294	7.35294117647059	NA	NA	63	5	NA
eto	NA	89.873417721519	10.126582278481	NA	NA	71	8	NA
eva	NA	100	NA	NA	NA	316	NA	NA
eve	NA	100	NA	NA	NA	15	NA	NA
evi	NA	28.9940828402367	71.0059171597633	NA	NA	49	120	NA
evo	NA	100	NA	NA	NA	130	NA	NA
ezi	NA	100	NA	NA	NA	1	NA	NA
i'i	NA	100	NA	NA	NA	1	NA	NA
i'o	NA	100	NA	NA	NA	1	NA	NA
iba	NA	100	NA	NA	NA	6	NA	NA
ibe	NA	50	50	NA	NA	2	2	NA
ibi	NA	57.1428571428571	42.8571428571429	NA	NA	4	3	NA
ibo	NA	66.6666666666667	33.3333333333333	NA	NA	2	1	NA
ibu	100	NA	NA	NA	1	NA	NA	NA
ica	NA	4.19512195121951	95.8048780487805	NA	NA	43	982	NA
ice	NA	84.4621513944223	15.5378486055777	NA	NA	212	39	NA
ici	NA	16.141235813367	83.7326607818411	0.126103404791929	NA	128	664	1
ico	NA	5.06863780359029	94.9313621964097	NA	NA	48	899	NA
icu	NA	100	NA	NA	NA	1	NA	NA
ida	0.78740157480315	34.6456692913386	64.5669291338583	NA	1	44	82	NA
ide	NA	33.5714285714286	66.4285714285714	NA	NA	47	93	NA
idi	NA	38.2978723404255	61.7021276595745	NA	NA	54	87	NA
ido	NA	21.875	78.125	NA	NA	21	75	NA
