3lett	S2_%ULT_Ty	S2_%PULT_Ty	S3_%ULT_Ty	S3_%PULT_Ty	S3_%APULT_Ty	S4_%ULT_Ty	S4_%PULT_Ty	S4_%APULT_Ty	S4_%PAPULT_Ty	S5_%ULT_Ty	S5_%PULT_Ty	S5_%APULT_Ty	S5_%PAPULT_Ty	S6_%ULT_Ty	S6_%PULT_Ty	S6_%APULT_Ty	S6_%PAPULT_Ty	S7_%PULT_Ty	S7_%APULT_Ty	S8_%PULT_Ty	S2_nULT_Ty	S2_nPULT_Ty	S3_nULT_Ty	S3_nPULT_Ty	S3_nAPULT_Ty	S4_nULT_Ty	S4_nPULT_Ty	S4_nAPULT_Ty	S4_nPAPULT_Ty	S5_nULT_Ty	S5_nPULT_Ty	S5_nAPULT_Ty	S5_nPAPULT_Ty	S6_nULT_Ty	S6_nPULT_Ty	S6_nAPULT_Ty	S6_nPAPULT_Ty	S7_nPULT_Ty	S7_nAPULT_Ty	S8_nPULT_Ty
cod	33.33333333	66.66666667	NA	33.33333333	66.66666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cof	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cog	NA	100	NA	50	50	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	4	4	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
coi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33.33333333	66.66666667	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA	NA	1	NA	NA	NA	NA	NA
col	13.33333333	86.66666667	4.444444444	88.88888889	6.666666667	NA	72.58064516	24.19354839	3.225806452	18.18181818	54.54545455	18.18181818	9.090909091	NA	20	80	NA	NA	NA	NA	2	13	2	40	3	NA	45	15	2	2	6	2	1	NA	1	4	NA	NA	NA	NA
com	40	60	8.771929825	75.43859649	15.78947368	7.407407407	68.88888889	22.22222222	1.481481481	4.545454545	59.09090909	29.54545455	6.818181818	NA	66.66666667	33.33333333	NA	NA	NA	NA	4	6	10	86	18	10	93	30	2	2	26	13	3	NA	2	1	NA	NA	NA	NA
con	25	75	9.756097561	87.80487805	2.43902439	6.578947368	71.05263158	21.92982456	0.438596491	NA	59.21052632	36.84210526	3.947368421	NA	50	50	NA	NA	NA	100	3	9	16	144	4	15	162	50	1	NA	45	28	3	NA	8	8	NA	NA	NA	1
cop	11.11111111	88.88888889	5.555555556	83.33333333	11.11111111	NA	71.42857143	28.57142857	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	8	1	15	2	NA	5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cor	NA	100	2	88	10	NA	75.86206897	24.13793103	NA	NA	60	40	NA	NA	33.33333333	66.66666667	NA	NA	NA	NA	NA	22	1	44	5	NA	22	7	NA	NA	6	4	NA	NA	1	2	NA	NA	NA	NA
cos	10	90	8.108108108	81.08108108	10.81081081	8.163265306	69.3877551	22.44897959	NA	NA	60.86956522	39.13043478	NA	NA	NA	100	NA	NA	NA	NA	1	9	3	30	4	4	34	11	NA	NA	14	9	NA	NA	NA	4	NA	NA	NA	NA
cot	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cov	NA	100	25	75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
coz	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cra	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cre	6.25	93.75	6.12244898	65.30612245	28.57142857	NA	77.27272727	22.72727273	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	15	3	32	14	NA	17	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cri	NA	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	10	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cro	20	80	14.28571429	57.14285714	28.57142857	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	4	1	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cru	NA	100	33.33333333	66.66666667	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	1	2	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cub	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cuc	40	60	6.666666667	73.33333333	20	NA	90.90909091	9.090909091	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	2	3	1	11	3	NA	10	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
cuf	NA	100	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cug	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cui	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cul	NA	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	2	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cum	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cuo	NA	100	NA	33.33333333	66.66666667	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	1	2	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cup	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cur	16.66666667	83.33333333	7.142857143	92.85714286	NA	16.66666667	66.66666667	16.66666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	5	1	13	NA	1	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cus	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dad	NA	100	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dai	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dam	NA	100	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dan	20	80	7.142857143	85.71428571	7.142857143	NA	57.14285714	42.85714286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	4	1	12	1	NA	4	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dap	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dar	8.823529412	91.17647059	NA	23.52941176	76.47058824	NA	20	20	60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	31	NA	8	26	NA	1	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dat	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dav	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
