4lett	%ULT_Tk	%PULT_Tk	%APULT_Tk	%PAPULT_Tk	nULT_Tk	nPULT_Tk	nAPULT_Tk	nPAPULT_Tk
buca	0	92	8	0	0	23	2	0
bucc	0	100	0	0	0	13	0	0
buco	0	100	0	0	0	20	0	0
budi	0	100	0	0	0	9	0	0
bufa	0	0	100	0	0	0	5	0
bufe	0	100	0	0	0	7	0	0
buff	0	100	0	0	0	26	0	0
bugi	0	100	0	0	0	26	0	0
buon	0	99.4397759103641	0.560224089635854	0	0	355	2	0
bura	0	100	0	0	0	22	0	0
burr	0	100	0	0	0	31	0	0
busc	20	80	0	0	1	4	0	0
buss	29.6296296296296	40.7407407407407	29.6296296296296	0	8	11	8	0
bust	0	100	0	0	0	19	0	0
butt	11.1111111111111	80.2469135802469	7.40740740740741	1.23456790123457	9	65	6	1
cabi	0	100	0	0	0	14	0	0
caca	0	100	0	0	0	5	0	0
cacc	4.02298850574713	92.5287356321839	3.44827586206897	0	7	161	6	0
cact	0	100	0	0	0	5	0	0
cade	1.46341463414634	82.9268292682927	15.609756097561	0	3	170	32	0
cadu	0	100	0	0	0	22	0	0
caff	70.7692307692308	29.2307692307692	0	0	46	19	0	0
cala	10.3448275862069	75.8620689655172	13.7931034482759	0	3	22	4	0
calc	0.666666666666667	75.3333333333333	24	0	1	113	36	0
cald	0	97.1428571428571	2.85714285714286	0	0	136	4	0
cale	0	100	0	0	0	7	0	0
cali	0	0	100	0	0	0	7	0
calm	2.88461538461538	87.5	9.61538461538462	0	3	91	10	0
calo	0	100	0	0	0	42	0	0
calp	0	80	20	0	0	4	1	0
calz	1.72413793103448	96.551724137931	1.72413793103448	0	1	56	1	0
camb	8.7378640776699	83.495145631068	7.76699029126214	0	18	172	16	0
came	0	32	68	0	0	24	51	0
cami	0	100	0	0	0	112	0	0
camm	2	88.6666666666667	9.33333333333333	0	3	133	14	0
camp	0	99.7690531177829	0.23094688221709	0	0	432	1	0
cana	0	100	0	0	0	34	0	0
canc	6.52173913043478	93.4782608695652	0	0	3	43	0	0
cand	0	70.4545454545455	29.5454545454545	0	0	31	13	0
cane	0	100	0	0	0	41	0	0
cang	0	100	0	0	0	5	0	0
cani	0	100	0	0	0	12	0	0
cann	0	100	0	0	0	38	0	0
cano	0	100	0	0	0	8	0	0
cant	5.97014925373134	85.5721393034826	8.45771144278607	0	12	172	17	0
canz	0	100	0	0	0	92	0	0
capa	33.1168831168831	66.2337662337662	0.649350649350649	0	51	102	1	0
cape	0	100	0	0	0	86	0	0
capi	1.95729537366548	85.9430604982206	12.0996441281139	0	11	483	68	0
capo	4.16666666666667	91.6666666666667	4.16666666666667	0	1	22	1	0
capp	0	100	0	0	0	117	0	0
capr	0	100	0	0	0	36	0	0
cara	0	22.463768115942	77.536231884058	0	0	31	107	0
carb	0	77.0491803278689	22.9508196721311	0	0	47	14	0
carc	0	0	100	0	0	0	3	0
card	0	100	0	0	0	20	0	0
care	0	100	0	0	0	17	0	0
cari	16.8224299065421	27.1028037383178	55.1401869158878	0.934579439252336	18	29	59	1
carn	0	93.6842105263158	6.31578947368421	0	0	89	6	0
caro	0	61.2903225806452	38.7096774193548	0	0	19	12	0
carp	0	100	0	0	0	5	0	0
carr	0	89.4308943089431	10.5691056910569	0	0	110	13	0
cart	0	100	0	0	0	306	0	0
casa	0	100	0	0	0	54	0	0
casc	10.7142857142857	89.2857142857143	0	0	6	50	0	0
case	0	100	0	0	0	20	0	0
cass	0	100	0	0	0	111	0	0
cast	0	100	0	0	0	122	0	0
cata	0	0	100	0	0	0	10	0
cate	0	100	0	0	0	54	0	0
cati	0	100	0	0	0	5	0	0
catt	1.96078431372549	84.9673202614379	13.0718954248366	0	3	130	20	0
caus	1.63934426229508	96.7213114754098	1.63934426229508	0	1	59	1	0
caut	0	100	0	0	0	3	0	0
cava	0.409836065573771	94.2622950819672	5.32786885245902	0	1	230	13	0
cave	0	100	0	0	0	23	0	0
cavi	76.1904761904762	23.8095238095238	0	0	16	5	0	0
cavo	0	0	100	0	0	0	9	0
cede	13.3333333333333	40	46.6666666666667	0	2	6	7	0
cedr	0	100	0	0	0	7	0	0
cele	1.2987012987013	70.1298701298701	28.5714285714286	0	1	54	22	0
cell	0	25.531914893617	74.468085106383	0	0	12	35	0
ceme	0	100	0	0	0	11	0	0
cena	0	50	50	0	0	3	3	0
cene	0	0	100	0	0	0	12	0
cenn	0	100	0	0	0	14	0	0
cens	0	100	0	0	0	11	0	0
