CV-structure	S5_%ULT_Tk	S5_%PULT_Tk	S5_%APULT_Tk	S5_%PAPULT_Tk	S5_nULT_Tk	S5_nPULT_Tk	S5_nAPULT_Tk	S5_nPAPULT_Tk
CVCCVVCCVCCVCV	0	16.66666667	83.33333333	0	0	2	10	0
CVCCVVCCVCV	0	35.71428571	64.28571429	0	0	15	27	0
CVCCVVCCVCVCCV	0	100	0	0	0	44	0	0
CVCCVVCCVCVCCVV	0	100	0	0	0	5	0	0
CVCCVVCCVCVCV	0	51.68539326	47.19101124	1.123595506	0	46	42	1
CVCCVVCCVCVCVV	0	100	0	0	0	6	0	0
CVCCVVCCVCVV	0	100	0	0	0	24	0	0
CVCCVVCCVCVVCCCV	0	100	0	0	0	3	0	0
CVCCVVCCVVCCVCV	0	0	100	0	0	0	1	0
CVCCVVCCVVCVCCV	0	100	0	0	0	2	0	0
CVCCVVCCVVCVCV	0	100	0	0	0	2	0	0
CVCCVVCVCCV	0	100	0	0	0	13	0	0
CVCCVVCVCCVCCCV	0	100	0	0	0	3	0	0
CVCCVVCVCCVCCV	0	80	20	0	0	16	4	0
CVCCVVCVCCVCV	0	35.44303797	64.55696203	0	0	28	51	0
CVCCVVCVCCVVCV	0	100	0	0	0	1	0	0
CVCCVVCVCV	0	69.11764706	30.88235294	0	0	47	21	0
CVCCVVCVCVCCV	0	100	0	0	0	214	0	0
CVCCVVCVCVCV	0	47.40740741	51.85185185	0.740740741	0	64	70	1
CVCCVVCVCVCVV	0	100	0	0	0	89	0	0
CVCCVVCVCVV	0	100	0	0	0	36	0	0
CVCCVVCVCVVCV	0	100	0	0	0	405	0	0
CVCCVVCVV	0	8.333333333	91.66666667	0	0	1	11	0
CVCCVVCVVCV	0	100	0	0	0	22	0	0
CVCCVVVCCVCV	0	100	0	0	0	1	0	0
CVCCVVVCV	0	0	0	100	0	0	0	35
CVCCVVVCVCV	0	0	100	0	0	0	5	0
CVCCVVVVCVCV	0	0	100	0	0	0	4	0
CVCCAVCCVCVCV	0	25	75	0	0	1	3	0
CVCCAVCVCCVCCCV	0	100	0	0	0	1	0	0
CVCCAVCVCCVCV	0	100	0	0	0	9	0	0
CVCVCCCVCCV	0	0	100	0	0	0	5	0
CVCVCCCVCCVCCV	0	75	25	0	0	3	1	0
CVCVCCCVCCVCV	0	69.56521739	30.43478261	0	0	16	7	0
CVCVCCCVCCVV	0	100	0	0	0	1	0	0
CVCVCCCVCVCCV	0	87.09677419	12.90322581	0	0	27	4	0
CVCVCCCVCVCV	0	91.86507937	8.134920635	0	0	463	41	0
CVCVCCCVCVV	0	100	0	0	0	19	0	0
CVCVCCCVCVVCCV	0	100	0	0	0	1	0	0
CVCVCCCVCVVCV	0	100	0	0	0	265	0	0
CVCVCCCVVCCV	0	100	0	0	0	34	0	0
CVCVCCCVVCV	0	100	0	0	0	148	0	0
CVCVCCCVVCVCV	0	50	50	0	0	3	3	0
CVCVCCCVVCVV	0	100	0	0	0	1	0	0
CVCVCCCVVVCV	0	100	0	0	0	2	0	0
CVCVCCVCCCVCCV	0	100	0	0	0	2	0	0
CVCVCCVCCCVCV	0	100	0	0	0	2	0	0
CVCVCCVCCCVVCV	0	0	100	0	0	0	1	0
CVCVCCVCCVCCCV	0	100	0	0	0	1	0	0
CVCVCCVCCVCCV	0	92.30769231	7.692307692	0	0	72	6	0
CVCVCCVCCVCV	0	57.3012939	41.77449168	0.924214418	0	310	226	5
CVCVCCVCCVV	0	100	0	0	0	3	0	0
CVCVCCVCCVVCCV	0	100	0	0	0	4	0	0
CVCVCCVCCVVCV	0	100	0	0	0	311	0	0
CVCVCCVCCVVV	0	100	0	0	0	1	0	0
CVCVCCVCVCC	0	0	100	0	0	0	2	0
CVCVCCVCVCCCV	0	100	0	0	0	11	0	0
CVCVCCVCVCCCVV	0	100	0	0	0	28	0	0
CVCVCCVCVCCV	0	95.14563107	4.854368932	0	0	1568	80	0
CVCVCCVCVCCVV	0	100	0	0	0	23	0	0
CVCVCCVCVCV	0	69.05487805	29.57317073	1.37195122	0	2265	970	45
CVCVCCVCVCVV	0	100	0	0	0	32	0	0
CVCVCCVCVV	0	95.02617801	4.97382199	0	0	726	38	0
CVCVCCVCVVCCCV	0	100	0	0	0	1	0	0
CVCVCCVCVVCCV	0	100	0	0	0	12	0	0
CVCVCCVCVVCV	0	100	0	0	0	669	0	0
CVCVCCVCVVV	0	100	0	0	0	7	0	0
CVCVCCVVCCV	0	100	0	0	0	2	0	0
CVCVCCVVCCVCCV	0	90	10	0	0	18	2	0
CVCVCCVVCCVCV	0	72.09302326	27.90697674	0	0	31	12	0
CVCVCCVVCCVVCV	0	100	0	0	0	2	0	0
CVCVCCVVCV	0	85.29411765	14.70588235	0	0	29	5	0
CVCVCCVVCVCCV	0	99.68553459	0.314465409	0	0	317	1	0
CVCVCCVVCVCV	0	29.00763359	70.99236641	0	0	38	93	0
CVCVCCVVCVCVV	0	100	0	0	0	13	0	0
CVCVCCVVV	0	100	0	0	0	2	0	0
CVCVCVCCCVCCV	0	100	0	0	0	7	0	0
CVCVCVCCCVCV	0	66.66666667	33.33333333	0	0	6	3	0
CVCVCVCCCVV	0	100	0	0	0	1	0	0
CVCVCVCCCVVCV	0	0	50	50	0	0	1	1
CVCVCVCCVCCCV	0	75	25	0	0	3	1	0
CVCVCVCCVCCV	0	95.52919708	4.47080292	0	0	1047	49	0
CVCVCVCCVCCVV	0	100	0	0	0	4	0	0
CVCVCVCCVCV	0	52.40858967	47.3012188	0.290191526	0	903	815	5
CVCVCVCCVCVV	0	100	0	0	0	88	0	0
CVCVCVCCVV	0	100	0	0	0	21	0	0
CVCVCVCCVVCCV	0	100	0	0	0	26	0	0
CVCVCVCCVVCV	0	99.34895833	0.651041667	0	0	763	5	0
CVCVCVCCVVCVV	0	100	0	0	0	22	0	0
