CV-structure	S4_%ULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S4_%PAPULT_Tk	S4_nULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S4_nPAPULT_Tk
CVCCCVVVCV	0	100	0	0	0	39	0	0
CVCCCVVVVCV	0	100	0	0	0	10	0	0
CVCCVCCCVCCV	0	99.41176471	0.588235294	0	0	169	1	0
CVCCVCCCVCV	0	90.54054054	9.459459459	0	0	335	35	0
CVCCVCCCVCVV	0	100	0	0	0	7	0	0
CVCCVCCCVV	0	100	0	0	0	6	0	0
CVCCVCCCVVCCV	0	100	0	0	0	7	0	0
CVCCVCCCVVCV	0	89.70588235	10.29411765	0	0	122	14	0
CVCCVCCVCCCV	0	75	25	0	0	27	9	0
CVCCVCCVCCCVV	0	100	0	0	0	67	0	0
CVCCVCCVCCV	0	92.35557285	7.644427154	0	0	4748	393	0
CVCCVCCVCCVV	0	100	0	0	0	112	0	0
CVCCVCCVCV	0	69.693821	30.18149072	0.124688279	0	10061	4357	18
CVCCVCCVCVV	0	100	0	0	0	285	0	0
CVCCVCCVV	0	99.46524064	0.534759358	0	0	744	4	0
CVCCVCCVVCCCV	0	100	0	0	0	4	0	0
CVCCVCCVVCCV	0	94.78079332	5.219206681	0	0	454	25	0
CVCCVCCVVCCVV	0	100	0	0	0	3	0	0
CVCCVCCVVCV	0	93.56751825	6.432481752	0	0	4102	282	0
CVCCVCCVVV	0	100	0	0	0	8	0	0
CVCCVCCVVVCV	0	100	0	0	0	4	0	0
CVCCVCVCC	0	0	100	0	0	0	18	0
CVCCVCVCCCV	0	89.15662651	10.84337349	0	0	74	9	0
CVCCVCVCCCVV	0	100	0	0	0	11	0	0
CVCCVCVCCV	0	96.1626944	3.837305604	0	0	10450	417	0
CVCCVCVCCVCC	0	100	0	0	0	2	0	0
CVCCVCVCCVV	0	100	0	0	0	643	0	0
CVCCVCVCV	0	71.47526032	28.1485141	0.376225583	0	18808	7407	99
CVCCVCVCVV	0	100	0	0	0	2009	0	0
CVCCVCVCVVV	0	100	0	0	0	2	0	0
CVCCVCVV	0	94.38752784	5.61247216	0	0	2119	126	0
CVCCVCVVCCCV	0	100	0	0	0	39	0	0
CVCCVCVVCCV	0	100	0	0	0	930	0	0
CVCCVCVVCCVV	0	100	0	0	0	36	0	0
CVCCVCVVCV	0	99.05437352	0.945626478	0	0	4190	40	0
CVCCVCVVCVV	0	100	0	0	0	48	0	0
CVCCVCVVV	0	100	0	0	0	520	0	0
CVCCVCVVVCV	0	100	0	0	0	6	0	0
CVCCVCVVVV	0	100	0	0	0	1	0	0
CVCCVVCCCV	0	100	0	0	0	7	0	0
CVCCVVCCCVVCV	0	0	100	0	0	0	4	0
CVCCVVCCV	0	89.72972973	10.27027027	0	0	166	19	0
CVCCVVCCVCCCV	0	100	0	0	0	1	0	0
CVCCVVCCVCCV	0	85.47854785	14.52145215	0	0	259	44	0
CVCCVVCCVCCVV	0	100	0	0	0	3	0	0
CVCCVVCCVCV	0	51.47637795	48.52362205	0	0	523	493	0
CVCCVVCCVCVV	0	100	0	0	0	9	0	0
CVCCVVCCVV	0	100	0	0	0	12	0	0
CVCCVVCCVVCCV	0	0	100	0	0	0	1	0
CVCCVVCCVVCV	0	91.4893617	8.510638298	0	0	43	4	0
CVCCVVCCVVV	0	100	0	0	0	7	0	0
CVCCVVCV	0	83.3557047	16.6442953	0	0	1242	248	0
CVCCVVCVCC	0	0	100	0	0	0	3	0
CVCCVVCVCCCV	0	100	0	0	0	1	0	0
CVCCVVCVCCV	0	99.08396947	0.916030534	0	0	1298	12	0
CVCCVVCVCV	0	83.95688015	16.01141408	0.03170577	0	2648	505	1
CVCCVVCVCVV	0	100	0	0	0	142	0	0
CVCCVVCVV	0	98.46153846	1.538461538	0	0	64	1	0
CVCCVVCVVCCV	0	100	0	0	0	3	0	0
CVCCVVCVVCV	0	100	0	0	0	128	0	0
CVCCVVCVVV	0	100	0	0	0	5	0	0
CVCCVVV	0	100	0	0	0	1	0	0
CVCCVVVCV	0	97.46835443	2.53164557	0	0	77	2	0
CVCCVVVVCV	0	100	0	0	0	8	0	0
CVCCSCVCV	0	0	100	0	0	0	2	0
CVCCAVCCCVCVV	0	100	0	0	0	3	0	0
CVCCAVCCCVV	0	100	0	0	0	9	0	0
CVCCAVCCVCCV	0	100	0	0	0	4	0	0
CVCCAVCCVCV	0	5.882352941	94.11764706	0	0	1	16	0
CVCCAVCCVCVV	0	100	0	0	0	14	0	0
CVCCAVCCVV	0	100	0	0	0	1	0	0
CVCCAVCVCCV	0	100	0	0	0	1	0	0
CVCCAVCVCV	0	21.42857143	78.57142857	0	0	3	11	0
CVCCAVCVCVV	0	100	0	0	0	5	0	0
CVCCAVCVV	0	100	0	0	0	2	0	0
CVCCAVVCV	0	100	0	0	0	1	0	0
CVCCAVVCVCVV	0	100	0	0	0	5	0	0
CVCVCCCCVCV	0	100	0	0	0	10	0	0
CVCVCCCVCCCV	0	100	0	0	0	4	0	0
CVCVCCCVCCV	0	84.79262673	15.20737327	0	0	184	33	0
CVCVCCCVCV	0.040983607	69.30327869	30.6557377	0	1	1691	748	0
CVCVCCCVCVV	0	100	0	0	0	1	0	0
CVCVCCCVV	0	100	0	0	0	67	0	0
