ending	S2_%PULT_Ty	S3_%PULT_Ty	S3_%APULT_Ty	S4_%PULT_Ty	S4_%APULT_Ty	S4_%PAPULT_Ty	S5_%PULT_Ty	S5_%APULT_Ty	S6_%PULT_Ty	S6_%APULT_Ty	S7_%PULT_Ty	S7_%APULT_Ty	S8_%PULT_Ty	S2_nPULT_Ty	S3_nPULT_Ty	S3_nAPULT_Ty	S4_nPULT_Ty	S4_nAPULT_Ty	S4_nPAPULT_Ty	S5_nPULT_Ty	S5_nAPULT_Ty	S6_nPULT_Ty	S6_nAPULT_Ty	S7_nPULT_Ty	S7_nAPULT_Ty	S8_nPULT_Ty
nca	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nce	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nci	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nco	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nda	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	22	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
nde	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	36	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ndi	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	20	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ndo	100	100	NA	100	NA	NA	100	NA	100	NA	NA	NA	NA	17	228	NA	252	NA	NA	51	NA	1	NA	NA	NA	NA
nfa	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nfe	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nfi	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nfo	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
