ending	S2_%PULT_Ty	S3_%PULT_Ty	S3_%APULT_Ty	S4_%PULT_Ty	S4_%APULT_Ty	S4_%PAPULT_Ty	S5_%PULT_Ty	S5_%APULT_Ty	S5_%PAPULT_Ty	S6_%PULT_Ty	S6_%APULT_Ty	S6_%PAPULT_Ty	S7_%APULT_Ty	S8_%PULT_Ty	S2_nPULT_Ty	S3_nPULT_Ty	S3_nAPULT_Ty	S4_nPULT_Ty	S4_nAPULT_Ty	S4_nPAPULT_Ty	S5_nPULT_Ty	S5_nAPULT_Ty	S5_nPAPULT_Ty	S6_nPULT_Ty	S6_nAPULT_Ty	S6_nPAPULT_Ty	S7_nAPULT_Ty	S8_nPULT_Ty
ino	100	74.4897959183673	25.5102040816327	77.7777777777778	19.2592592592593	2.96296296296296	30.7692307692308	23.0769230769231	46.1538461538462	100	NA	NA	NA	NA	9	73	25	105	26	4	4	3	6	1	NA	NA	NA	NA
ipa	100	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ipe	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ipi	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ipo	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ira	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	9	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ire	100	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	4	49	NA	58	NA	NA	13	NA	NA	NA	NA	NA	NA	NA
iri	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
iro	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	5	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
isa	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	5	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ise	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	13	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
isi	100	88.8888888888889	11.1111111111111	40	60	NA	NA	100	NA	NA	NA	NA	NA	NA	4	8	1	2	3	NA	NA	3	NA	NA	NA	NA	NA	NA
iso	100	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	3	7	NA	4	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
ita	100	69.0909090909091	30.9090909090909	80.4878048780488	19.5121951219512	NA	100	NA	NA	NA	NA	NA	NA	NA	3	38	17	33	8	NA	9	NA	NA	NA	NA	NA	NA	NA
ite	100	78.5714285714286	21.4285714285714	94.5945945945946	5.40540540540541	NA	100	NA	NA	NA	NA	NA	NA	NA	4	33	9	35	2	NA	6	NA	NA	NA	NA	NA	NA	NA
iti	100	64.9122807017544	35.0877192982456	66.6666666666667	33.3333333333333	NA	100	NA	NA	NA	NA	NA	NA	NA	3	37	20	30	15	NA	8	NA	NA	NA	NA	NA	NA	NA
ito	100	80	20	90.1639344262295	9.83606557377049	NA	100	NA	NA	NA	NA	NA	NA	NA	3	48	12	55	6	NA	13	NA	NA	NA	NA	NA	NA	NA
iva	100	100	NA	100	NA	NA	100	NA	NA	100	NA	NA	NA	NA	5	46	NA	35	NA	NA	12	NA	NA	1	NA	NA	NA	NA
ive	100	100	NA	100	NA	NA	100	NA	NA	100	NA	NA	NA	NA	5	6	NA	9	NA	NA	4	NA	NA	1	NA	NA	NA	NA
ivi	100	100	NA	92.8571428571429	7.14285714285714	NA	100	NA	NA	100	NA	NA	NA	NA	3	13	NA	13	1	NA	4	NA	NA	1	NA	NA	NA	NA
ivo	100	100	NA	100	NA	NA	100	NA	NA	100	NA	NA	NA	NA	3	20	NA	15	NA	NA	5	NA	NA	1	NA	NA	NA	NA
izi	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	5	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
oba	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
obe	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
oca	100	20	80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	1	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
oce	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	3	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
