ending	S2_%ULT_Ty	S2_%PULT_Ty	S3_%ULT_Ty	S3_%PULT_Ty	S3_%APULT_Ty	S4_%PULT_Ty	S4_%APULT_Ty	S5_pia_%_Ty	S5_%APULT_Ty	S6_%PULT_Ty	S6_%APULT_Ty	S7_%PULT_Ty	S7_%APULT_Ty	S8_%PULT_Ty	S8_%APULT_Ty	S9_%PULT_Ty	S10_%PULT_Ty	S2_nULT_Ty	S2_nPULT_Ty	S3_nULT_Ty	S3_nPULT_Ty	S3_nAPULT_Ty	S4_nPULT_Ty	S4_nAPULT_Ty	S5_nPULT_Ty	S5_nAPULT_Ty	S6_nPULT_Ty	S6_nAPULT_Ty	S7_nPULT_Ty	S7_nAPULT_Ty	S8_nPULT_Ty	S8_nAPULT_Ty	S9_nPULT_Ty	S10_nPULT_Ty
rfe	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
rfi	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
rfo	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rga	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	NA	9	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rge	NA	100	7.692307692	92.30769231	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	1	12	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rgi	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rgo	NA	100	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	NA	14	NA	8	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA
rgu	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rji	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rka	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rke	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rko	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rku	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rla	NA	100	NA	84.17721519	15.82278481	78.35820896	21.64179104	90.90909091	9.090909091	83.33333333	16.66666667	NA	NA	NA	NA	NA	NA	NA	15	NA	133	25	210	58	70	7	5	1	NA	NA	NA	NA	NA	NA
rle	NA	100	NA	83.22147651	16.77852349	76.54320988	23.45679012	97.82608696	2.173913043	100	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	124	25	124	38	45	1	1	NA	NA	NA	NA	NA	NA	NA
rli	NA	100	NA	82.70676692	17.29323308	80.51282051	19.48717949	92.06349206	7.936507937	100	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	110	23	157	38	58	5	7	NA	NA	NA	NA	NA	NA	NA
rlo	NA	100	NA	83.24324324	16.75675676	81.92771084	18.07228916	93.33333333	6.666666667	100	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	154	31	272	60	84	6	9	NA	NA	NA	NA	NA	NA	NA
rma	NA	100	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	12	NA	12	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
rme	NA	100	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	NA	13	NA	6	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
rmi	NA	100	NA	84.91620112	15.08379888	85.42510121	14.57489879	96.61016949	3.389830508	100	NA	100	NA	NA	NA	NA	NA	NA	16	NA	152	27	211	36	57	2	5	NA	1	NA	NA	NA	NA	NA
rmo	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	11	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rna	NA	100	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	29	NA	8	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
rne	NA	100	NA	85.48387097	14.51612903	81.33333333	18.66666667	92.98245614	7.01754386	100	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	106	18	122	28	53	4	7	NA	NA	NA	NA	NA	NA	NA
rni	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	NA	21	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rno	NA	100	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	NA	42	NA	17	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA
rpa	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rpe	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rpi	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rpo	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rra	NA	100	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	NA	25	NA	18	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
rre	NA	100	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	44	NA	17	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
rri	NA	100	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	NA	13	NA	8	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
rro	NA	100	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	NA	19	NA	11	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
rru	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rsa	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	NA	29	NA	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rse	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	NA	29	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rsi	NA	100	NA	85.6187291	14.3812709	84.61538462	15.38461538	95.5	4.5	91.66666667	8.333333333	100	NA	NA	NA	NA	NA	NA	18	NA	256	43	451	82	191	9	22	2	4	NA	NA	NA	NA	NA
rso	NA	100	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	NA	34	NA	13	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
rta	NA	100	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	NA	46	NA	11	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
rte	NA	100	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	NA	33	NA	23	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
rti	NA	100	NA	88.02816901	11.97183099	80.55555556	19.44444444	96.55172414	3.448275862	100	NA	100	NA	NA	NA	NA	NA	NA	26	NA	125	17	116	28	28	1	2	NA	1	NA	NA	NA	NA	NA
rto	NA	100	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	NA	53	NA	20	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA
rtu	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rva	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rve	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	8	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rvi	NA	100	NA	79.71014493	20.28985507	70.70707071	29.29292929	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	55	14	70	29	15	NA	NA	NA	NA	NA	NA	NA	NA	NA
rvo	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	3	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rza	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	4	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rze	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rzi	NA	100	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	6	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
rzo	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	4	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sbo	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sca	NA	100	NA	100	NA	100	NA	100	NA	100	NA	NA	NA	100	NA	NA	NA	NA	28	NA	61	NA	56	NA	25	NA	3	NA	NA	NA	1	NA	NA	NA
sce	NA	100	NA	100	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	14	NA	62	NA	105	NA	46	NA	2	NA	NA	NA	NA	NA	NA	NA
sci	NA	100	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	NA	18	NA	12	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
sco	NA	100	NA	100	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	30	NA	70	NA	49	NA	22	NA	1	NA	NA	NA	NA	NA	NA	NA
scu	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sda	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sfa	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sfi	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sfo	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sgi	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sha	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
shi	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ska	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ske	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sko	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sla	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
slo	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sma	NA	100	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	5	NA	7	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
smi	NA	100	NA	100	NA	100	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	5	NA	9	NA	48	NA	28	NA	11	NA	2	NA	NA	NA	NA	NA
smo	NA	100	NA	100	NA	100	NA	100	NA	100	NA	100	NA	100	NA	NA	NA	NA	2	NA	43	NA	180	NA	147	NA	59	NA	14	NA	3	NA	NA	NA
spa	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
spe	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
spi	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
spo	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ssa	NA	100	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	44	NA	84	NA	39	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA
sse	NA	100	NA	100	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	38	NA	277	NA	297	NA	80	NA	2	NA	NA	NA	NA	NA	NA	NA
ssi	NA	100	NA	100	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	46	NA	158	NA	72	NA	18	NA	2	NA	NA	NA	NA	NA	NA	NA
sso	NA	100	NA	100	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	48	NA	111	NA	46	NA	7	NA	1	NA	NA	NA	NA	NA	NA	NA
ssu	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sta	NA	100	NA	100	NA	100	NA	100	NA	100	NA	100	NA	100	NA	NA	NA	NA	48	NA	162	NA	196	NA	129	NA	54	NA	14	NA	6	NA	NA	NA
ste	NA	100	NA	100	NA	100	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	33	NA	97	NA	53	NA	31	NA	6	NA	1	NA	NA	NA	NA	NA
sti	NA	100	NA	100	NA	100	NA	100	NA	100	NA	100	NA	100	NA	NA	NA	NA	42	NA	146	NA	182	NA	93	NA	26	NA	5	NA	2	NA	NA	NA
sto	NA	100	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37	NA	75	NA	37	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
tha	NA	100	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
tho	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tma	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tmi	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tmo	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tna	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tno	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tra	NA	100	NA	91.30434783	8.695652174	81.25	18.75	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	34	NA	42	4	13	3	5	NA	1	NA	NA	NA	NA	NA	NA	NA
tre	NA	100	10.34482759	89.65517241	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	3	26	NA	5	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
tri	NA	100	NA	82.69230769	17.30769231	55	45	50	50	NA	100	NA	NA	NA	NA	NA	NA	NA	37	NA	43	9	11	9	4	4	NA	2	NA	NA	NA	NA	NA	NA
tro	2.325581395	97.6744186	NA	89.28571429	10.71428571	51.2195122	48.7804878	70.58823529	29.41176471	33.33333333	66.66666667	NA	NA	NA	NA	NA	NA	1	42	NA	50	6	21	20	12	5	1	2	NA	NA	NA	NA	NA	NA
tsi	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tta	NA	100	NA	100	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	72	NA	330	NA	108	NA	16	NA	1	NA	NA	NA	NA	NA	NA	NA
tte	7.547169811	92.45283019	NA	100	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	4	49	NA	188	NA	91	NA	23	NA	2	NA	NA	NA	NA	NA	NA	NA
tti	NA	100	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	81	NA	407	NA	182	NA	22	NA	NA	NA	NA	NA	NA	NA	NA	NA
tto	NA	100	NA	100	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	100	NA	NA	67	NA	356	NA	178	NA	22	NA	6	NA	NA	NA	NA	NA	1	NA
ttu	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
vra	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
vre	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
vro	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
vve	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
vvi	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
xpo	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
yme	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
zda	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
zza	NA	100	NA	99.16666667	0.833333333	100	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	38	NA	119	1	118	NA	62	NA	11	NA	3	NA	NA	NA	NA	NA
zze	NA	100	NA	97.56097561	2.43902439	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	24	NA	40	1	24	NA	13	NA	2	NA	NA	NA	NA	NA	NA	NA
zzi	NA	100	NA	100	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	47	NA	88	NA	50	NA	3	NA	1	NA	NA	NA	NA	NA	NA	NA
zzo	NA	100	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41	NA	57	NA	28	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
zzu	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
