ending	S2_%ULT_Tk	S2_%PULT_Tk	S3_%ULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S4_%ULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S4_%PAPULT_Tk	S5_%PULT_Tk	S5_%APULT_Tk	S5_%PAPULT_Tk	S6_%PULT_Tk	S6_%APULT_Tk	S6_%PAPULT_Tk	S7_%PULT_Tk	S7_%APULT_Tk	S7_%PAPULT_Tk	S8_%PULT_Tk	S8_%APULT_Tk	S9_%PULT_Tk	S10_%PULT_Tk	S10_%APULT_Tk	S11_%PULT_Tk	S2_nULT_Tk	S2_nPULT_Tk	S3_nULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk	S4_nULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S4_nPAPULT_Tk	S5_nPULT_Tk	S5_nAPULT_Tk	S5_nPAPULT_Tk	S6_nPULT_Tk	S6_nAPULT_Tk	S6_nPAPULT_Tk	S7_nPULT_Tk	S7_nAPULT_Tk	S7_nPAPULT_Tk	S8_nPULT_Tk	S8_nAPULT_Tk	S9_nPULT_Tk	S10_nPULT_Tk	S10_nAPULT_Tk	S11_nPULT_Tk
ete	0	100	0	99.6984318455971	0.301568154402895	0	77.8666666666667	22.1333333333333	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	888	0	1653	5	0	292	83	0	62	0	0	10	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
eti	0	100	0	97.7150537634409	2.28494623655914	0	45.2830188679245	54.7169811320755	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	202	0	727	17	0	48	58	0	9	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
eto	0	100	0	88.3464566929134	11.6535433070866	0	92.0353982300885	7.9646017699115	0	50	50	0	33.3333333333333	66.6666666666667	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	136	0	1122	148	0	104	9	0	12	12	0	1	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
eva	0	100	0	100	0	0	100	0	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	169	0	12412	0	0	1213	0	0	101	0	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
eve	0	100	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2234	0	87	0	0	44	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evi	0	100	0	100	0	0	11.5384615384615	88.4615384615385	0	6.38297872340426	93.6170212765958	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	351	0	224	0	0	12	92	0	6	88	0	0	25	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
evo	0	100	0	100	0	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	319	0	2294	0	0	291	0	0	8	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ezi	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
i'i	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
i'o	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
iba	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	13	0	7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ibe	NA	NA	0	33.3333333333333	66.6666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ibi	0	100	0	11.1111111111111	88.8888888888889	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	75	0	6	48	0	0	11	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ibo	0	100	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	175	0	0	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ibu	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ica	0	100	0	13.1796502384738	86.8203497615262	0	0.824713447022645	99.1752865529774	0	0.152749490835031	99.847250509165	0	0	100	0	0	100	0	0	100	NA	NA	NA	NA	0	207	0	829	5461	0	59	7095	0	3	1961	0	0	391	0	0	152	0	0	13	NA	NA	NA	NA
ice	0	100	0	40.2492668621701	59.7507331378299	0	81.9639278557114	18.0360721442886	0	98.2456140350877	1.75438596491228	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	NA	0	2141	0	1098	1630	0	409	90	0	224	4	0	54	0	0	2	0	0	NA	NA	NA	NA	NA	NA
ici	0	100	0	29.3831854668357	70.6168145331643	0	13.6713444997737	86.3286555002263	0	11.6178067318132	88.2736156351791	0.1085776330076	8.33333333333333	91.6666666666667	0	1.85185185185185	98.1481481481482	0	0	100	NA	0	100	NA	0	90	0	1391	3343	0	302	1907	0	107	813	1	17	187	0	2	106	0	0	4	NA	0	1	NA
