ending	B_%PULT_Ty	C_%PULT_Ty	E_%ULT_Ty	E_%PULT_Ty	E_%APULT_Ty	G_%ULT_Ty	G_%PULT_Ty	G_%APULT_Ty	I_%PULT_Ty	N_%PULT_Ty	N_%APULT_Ty	NU_%ULT_Ty	NU_%PULT_Ty	P_%PULT_Ty	R_%PULT_Ty	S_%ULT_Ty	S_%PULT_Ty	S_%APULT_Ty	V_%PULT_Ty	V_%APULT_Ty	X_%PULT_Ty	B_nPULT_Ty	C_nPULT_Ty	E_nULT_Ty	E_nPULT_Ty	E_nAPULT_Ty	G_nULT_Ty	G_nPULT_Ty	G_nAPULT_Ty	I_nPULT_Ty	N_nPULT_Ty	N_nAPULT_Ty	NU_nULT_Ty	NU_nPULT_Ty	P_nPULT_Ty	R_nPULT_Ty	S_nULT_Ty	S_nPULT_Ty	S_nAPULT_Ty	V_nPULT_Ty	B_nAPULT_Ty	X_nPULT_Ty
lci	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	3	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	1
lco	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	NA	NA
lda	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	15	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	5	NA	NA
lde	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA
ldi	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	40	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	4	NA	NA
ldo	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	39	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA
lfa	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	1	NA	NA
lfi	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA
lfo	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA
lga	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	4	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	17	NA	NA
lge	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	NA
lgi	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	3	NA	NA
lgo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	11	NA	1
lhi	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
lje	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lka	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
lke	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
lla	100	NA	NA	100	NA	NA	100	NA	NA	100	NA	NA	NA	100	100	NA	100	NA	100	NA	NA	2	NA	NA	197	NA	NA	18	NA	NA	3	NA	NA	NA	6	1	NA	161	NA	51	NA	NA
lle	100	NA	4.16666666666667	95.8333333333333	NA	NA	100	NA	NA	100	NA	NA	100	100	100	NA	100	NA	100	NA	NA	1	NA	2	46	NA	NA	18	NA	NA	3	NA	NA	1	6	1	NA	125	NA	9	NA	NA
lli	NA	NA	NA	100	NA	NA	100	NA	NA	100	NA	NA	NA	100	NA	NA	100	NA	100	NA	NA	NA	NA	NA	341	NA	NA	15	NA	NA	1	NA	NA	NA	1	NA	NA	177	NA	19	NA	NA
llo	100	NA	NA	100	NA	NA	100	NA	100	100	NA	NA	NA	100	100	NA	100	NA	100	NA	NA	1	NA	NA	204	NA	NA	20	NA	1	1	NA	NA	NA	5	1	NA	206	NA	17	NA	NA
llu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
lma	NA	NA	NA	100	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	6	NA	NA	4	NA	1	NA	NA	NA	NA	NA	NA	NA	5	NA	3	NA	NA
lme	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA
lmi	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	5	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	2	NA	NA
lmo	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA
lpa	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	3	NA	NA
lpe	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	NA
lpi	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	5	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	1	NA	NA
lpo	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA
lsa	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	1	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	6	NA	NA
lse	100	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	1	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	23	NA	NA
lsi	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	2	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	12	NA	NA
lso	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	2	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	6	NA	NA
LSO	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lta	100	100	NA	100	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	5	1	NA	11	NA	NA	24	NA	NA	1	NA	NA	NA	NA	NA	NA	15	NA	36	NA	NA
lte	100	NA	NA	100	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	1	NA	NA	1	NA	NA	22	NA	NA	1	NA	NA	NA	NA	NA	NA	10	NA	23	NA	NA
lti	NA	NA	NA	100	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	100	NA	100	NA	NA	NA	3	NA	NA	25	NA	NA	1	NA	NA	NA	NA	NA	NA	27	NA	22	NA	1
lto	100	NA	NA	100	NA	NA	100	NA	100	100	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	3	NA	NA	5	NA	NA	29	NA	1	1	NA	NA	NA	NA	NA	NA	34	NA	28	NA	NA
ltu	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lva	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	NA	100	NA	100	NA	NA	NA	NA	NA	5	NA	NA	3	NA	NA	NA	NA	NA	NA	1	NA	NA	4	NA	3	NA	NA
lve	NA	NA	NA	100	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	1	NA	NA	3	NA	1	NA	NA	NA	NA	NA	NA	NA	4	NA	6	NA	NA
lvi	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	5	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA
lvo	NA	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	NA	100	NA	100	NA	NA	NA	1	NA	5	NA	NA	2	NA	NA	NA	NA	NA	NA	1	NA	NA	3	NA	2	NA	NA
lya	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lza	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	8	NA	NA
lze	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA
lzi	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	4	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	4	NA	NA
lzo	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	1	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	2	NA	NA
mba	100	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	1	NA	NA	8	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	5	NA	NA
mbe	NA	NA	NA	100	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	2	NA	NA	2	NA	NA	1	NA	NA	NA	NA	NA	NA	9	NA	2	NA	NA
mbi	NA	NA	NA	100	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	7	NA	NA	3	NA	NA	1	NA	NA	NA	NA	NA	NA	16	NA	1	NA	NA
mbo	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	NA	NA	NA
mbu	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mma	100	100	NA	100	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	1	1	NA	12	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	34	NA	4	NA	NA
mme	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	1	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	NA	NA
mmi	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	2	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	NA	5	NA	NA
mmo	100	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	1	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	213	NA	NA
mno	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mpa	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	6	NA	NA
mpe	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	6	NA	NA
mpi	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	5	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	5	NA	NA
mpo	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	2	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	NA	1	NA	NA
nca	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	15	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	13	NA	NA
nce	100	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	1	1	NA	4	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	NA	3	NA	NA
nci	100	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	1	NA	NA	10	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	NA	10	NA	NA
nco	100	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	3	NA	NA	21	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	4	NA	NA
nda	NA	NA	NA	100	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	100	NA	100	NA	NA	NA	56	NA	NA	22	NA	NA	1	NA	NA	NA	NA	NA	NA	52	NA	46	NA	2
nde	100	100	NA	100	NA	NA	100	NA	NA	100	NA	NA	NA	100	NA	NA	100	NA	100	NA	NA	4	2	NA	14	NA	NA	17	NA	NA	1	NA	NA	NA	1	NA	NA	34	NA	53	NA	NA
ndi	100	100	NA	100	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	100	NA	100	2	1	NA	31	NA	NA	19	NA	NA	1	NA	NA	NA	NA	NA	NA	33	NA	31	NA	2
ndo	100	100	NA	100	NA	NA	100	NA	NA	100	NA	NA	NA	100	NA	NA	100	NA	100	NA	NA	4	3	NA	37	NA	NA	25	NA	NA	1	NA	NA	NA	1	NA	NA	41	NA	1641	NA	NA
nfa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	2	NA	NA
nfe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
nfi	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	3	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	3	NA	NA
nfo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA
nga	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	15	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	NA	38	NA	NA
nge	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	100	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	28	NA	1
ngi	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	1	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	13	NA	NA
ngo	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	NA	100	NA	100	NA	NA	NA	NA	NA	29	NA	NA	5	NA	NA	NA	NA	NA	NA	1	NA	NA	13	NA	34	NA	NA
ngu	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nha	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
nho	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nja	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
njo	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nju	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nka	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
nke	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nki	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nko	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nna	NA	NA	NA	100	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	46	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	31	NA	12	NA	NA
nne	NA	100	8.33333333333333	91.6666666666667	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	NA	100	NA	100	NA	NA	NA	1	1	11	NA	NA	61	NA	NA	NA	NA	NA	NA	1	NA	NA	75	NA	16	NA	NA
nni	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	28	NA	NA	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	51	NA	7	NA	NA
nno	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	18	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	NA	547	NA	NA
nri	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nsa	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	6	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	7	NA	NA
nse	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	6	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	26	NA	NA
nsi	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	7	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	13	NA	NA
nso	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	5	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	3	NA	NA
nsu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
nta	NA	NA	NA	100	NA	NA	100	NA	NA	100	NA	NA	100	100	NA	NA	100	NA	100	NA	NA	NA	NA	NA	31	NA	NA	52	NA	NA	3	NA	NA	22	1	NA	NA	33	NA	96	NA	NA
nte	100	100	NA	100	NA	NA	100	NA	100	100	NA	NA	NA	100	NA	NA	100	NA	100	NA	NA	1106	3	NA	81	NA	NA	798	NA	1	5	NA	NA	NA	5	NA	NA	350	NA	200	NA	NA
nti	100	100	NA	100	NA	NA	100	NA	100	100	NA	NA	100	100	NA	NA	100	NA	100	NA	NA	8	1	NA	85	NA	NA	630	NA	5	3	NA	NA	4	3	NA	NA	689	NA	182	NA	NA
nto	100	100	NA	92.5925925925926	7.40740740740741	NA	100	NA	100	100	NA	NA	100	100	NA	NA	100	NA	100	NA	NA	17	3	NA	50	4	NA	67	NA	2	4	NA	NA	18	2	NA	NA	667	NA	61	NA	NA
ntu	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA
nya	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nza	100	100	NA	100	NA	NA	100	NA	100	100	NA	NA	NA	100	NA	NA	100	NA	100	NA	100	3	1	NA	45	NA	NA	4	NA	1	1	NA	NA	NA	1	NA	NA	374	NA	9	NA	1
nze	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	204	NA	NA	NA	NA
nzi	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	100	NA	100	NA	NA	3	1	NA	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	11	NA	4	NA	NA
nzo	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	24	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	4	NA	NA
