ending	E_%ULT_Tk	E_%PULT_Tk	E_%APULT_Tk	G_%ULT_Tk	G_%PULT_Tk	G_%APULT_Tk	S_%ULT_Tk	S_%PULT_Tk	S_%APULT_Tk	V_%PULT_Tk	E_nULT_Tk	E_nPULT_Tk	E_nAPULT_Tk	G_nULT_Tk	G_nPULT_Tk	G_nAPULT_Tk	S_nULT_Tk	S_nPULT_Tk	S_nAPULT_Tk	V_nPULT_Tk
ory	NA	NA	NA	0	0	100	0	0	100	NA	NA	NA	NA	0	0	1	0	0	2	NA
osc	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	8	0	NA	NA	NA	NA	NA	NA	NA
osh	0	0	100	NA	NA	NA	NA	NA	NA	NA	0	0	5	NA	NA	NA	NA	NA	NA	NA
oss	100	0	0	NA	NA	NA	100	0	0	NA	1	0	0	NA	NA	NA	3	0	0	NA
osy	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	14	0	NA	NA	NA	NA	NA	NA	NA
ucy	0	100	0	NA	NA	NA	0	100	0	NA	0	99	0	NA	NA	NA	0	1	0	NA
ult	100	0	0	NA	NA	NA	100	0	0	NA	46	0	0	NA	NA	NA	8	0	0	NA
urt	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	36	0	NA
ust	NA	NA	NA	100	0	0	100	0	0	NA	NA	NA	NA	8	0	0	8	0	0	NA
usy	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	7	0	NA	NA	NA	NA	NA	NA	NA
uty	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	2	0	NA
utz	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	13	0	0	NA
